stage,run_idx,total_runs,seconds,lr,base_ch,weight_decay,adam_betas,loss_name,huber_beta,charbonnier_eps,scheduler,cosine_eta_min,plateau_factor,plateau_patience,grad_clip_norm,batch_size,val_mae,val_mse,val_rmse,val_norm_acc,config_json
stage1,342,576,29.456,5e-05,24,0.0001,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.0969738866686821,0.019307743102312088,0.138952305134935,0.951513056665659,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 5e-05, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,343,576,29.301,0.0001,24,0.0,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.08516312861442565,0.016214766547083856,0.1273372158761289,0.9574184356927872,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,344,576,29.56,0.0001,24,1e-05,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.08108491450548172,0.014374610513448715,0.11989416380061506,0.9594575427472591,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,345,576,29.525,0.0001,24,0.0001,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.08046439504623414,0.014406793728470802,0.12002830386400869,0.959767802476883,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,346,576,29.435,0.0001,24,0.0,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.0886377694606781,0.015887437880039216,0.12604538024076573,0.9556811152696609,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0001, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,347,576,29.321,0.0001,24,1e-05,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.08603175169229507,0.016606827065348627,0.1288674786955523,0.9569841241538525,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0001, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
stage1,348,576,29.383,0.0001,24,0.0001,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.08628213310241699,0.015924261018633843,0.12619136665649455,0.9568589334487915,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0001, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,349,576,29.468,0.0002,24,0.0,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.08325752180814742,0.016032323583960534,0.1266188121250572,0.9583712390959263,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0002, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,350,576,29.054,0.0002,24,1e-05,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.09417141807079316,0.02710778918862343,0.16464443260743264,0.9529142909646034,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0002, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,351,576,29.29,0.0002,24,0.0001,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.0778427682518959,0.013970048859715463,0.11819496122811439,0.9610786158740521,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0002, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,352,576,29.251,0.0002,24,0.0,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.08218048489093781,0.015158995606005192,0.12312187297960177,0.9589097575545311,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0002, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,353,576,29.284,0.0002,24,1e-05,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.08776764070987701,0.020016440868377686,0.1414794715440289,0.9561161796450615,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0002, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
stage1,354,576,29.552,0.0002,24,0.0001,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.08388093328475953,0.01585218293964863,0.12590545238252643,0.9580595333576203,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0002, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,355,576,29.471,0.0005,24,0.0,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.07617502188682557,0.013634466767311096,0.11676671943371149,0.9619124890565872,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0005, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,356,576,29.282,0.0005,24,1e-05,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.07751618438959122,0.014025910332798958,0.11843103618899464,0.9612419078052044,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0005, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,357,576,29.374,0.0005,24,0.0001,"(0.5, 0.999)",charbonnier,,0.001,none,,,,0.0,32,0.08407512718439102,0.019287497952580453,0.13887943675209968,0.9579624364078045,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0005, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,358,576,29.509,0.0005,24,0.0,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.07800148046016693,0.014324310772120952,0.11968421271045297,0.9609992597699165,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0005, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,359,576,29.419,0.0005,24,1e-05,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.07910327726602555,0.01426569702476263,0.11943909336880715,0.9604483613669872,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0005, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
stage1,360,576,29.201,0.0005,24,0.0001,"(0.5, 0.999)",charbonnier,,0.001,cosine,0.0,,,0.0,32,0.0794701874256134,0.014883444979786872,0.1219977253057895,0.9602649062871933,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""charbonnier_eps"": 0.001, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""charbonnier"", ""lr"": 0.0005, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,361,576,33.556,5e-05,32,0.0,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.09323573124408722,0.017983171701431273,0.1341013486189877,0.9533821343779564,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,362,576,33.745,5e-05,32,1e-05,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.0893372322320938,0.01810707128047943,0.13456251811139472,0.9553313838839531,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,363,576,33.722,5e-05,32,0.0001,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.11122456562519073,0.03504318863153458,0.18719826022571517,0.9443877171874047,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,364,576,33.695,5e-05,32,0.0,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.09105128461122512,0.01937575449794531,0.1391968192809926,0.9544743576943875,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,365,576,33.62,5e-05,32,1e-05,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.09306406331062317,0.01826235692203045,0.13513828814229684,0.9534679683446884,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
stage1,366,576,33.571,5e-05,32,0.0001,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.09140804171562195,0.01869548062980175,0.13673141785925336,0.954295979142189,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,367,576,33.734,0.0001,32,0.0,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.07847564363479614,0.014240269213914872,0.1193325991249452,0.9607621781826019,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,368,576,33.61,0.0001,32,1e-05,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.08210328024625778,0.015783831045031546,0.12563371778719098,0.9589483598768711,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,369,576,33.785,0.0001,32,0.0001,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.08166810578107833,0.014922734245657921,0.12215864376153626,0.9591659471094608,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,370,576,33.77,0.0001,32,0.0,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.08529768180847168,0.016548353865742684,0.12864040526111026,0.9573511590957642,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,371,576,33.697,0.0001,32,1e-05,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.08162246310710906,0.014353473119437694,0.11980598115051558,0.9591887684464455,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
stage1,372,576,33.793,0.0001,32,0.0001,"(0.5, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.0824250831604004,0.015140868082642556,0.12304823478068491,0.9587874584197998,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,373,576,33.591,0.0002,32,0.0,"(0.5, 0.999)",l1,,,none,,,,0.0,32,0.3875565342903137,0.3209669290781021,0.5665394329418757,0.8062217328548431,"{""adam_betas"": [0.5, 0.999], ""base_ch"": 32, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0002, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
